status,country
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,Senegal
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,UnitedStates
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Spain
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Cases,Mali
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Guinea
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,Liberia
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,SierraLeone
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
Deaths,Nigeria
